song id,genre id,song title,song artist,uri
165,3,California Love - Original Version,"2Pac, Roger, Dr. Dre",https://p.scdn.co/mp3-preview/5d8eaad9cd9e8c1f060aea44109d9839c5eaeb59?cid=9950ac751e34487dbbe027c4fd7f8e99
166,3,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",https://p.scdn.co/mp3-preview/c216640c68846d6587123371495115e119b53f0d?cid=9950ac751e34487dbbe027c4fd7f8e99
167,3,Lovefool,The Cardigans,https://p.scdn.co/mp3-preview/119aecd771084f1ed0c71675bc443468ac1b8ed9?cid=9950ac751e34487dbbe027c4fd7f8e99
168,3,The Sign,Ace of Base,https://p.scdn.co/mp3-preview/4c463359f67dd3546db7294d236dd0ae991882ff?cid=9950ac751e34487dbbe027c4fd7f8e99
169,3,Tearin' up My Heart - Radio Edit,*NSYNC,https://p.scdn.co/mp3-preview/b179e4171207a90d3f0d52b307cd7ff5d2ed4df5?cid=9950ac751e34487dbbe027c4fd7f8e99
170,3,Summer Girls,LFO,https://p.scdn.co/mp3-preview/0986ff170e2a1bbd8f85d4fa8fddc46c3d5286d6?cid=9950ac751e34487dbbe027c4fd7f8e99
171,3,Livin' la Vida Loca,Ricky Martin,https://p.scdn.co/mp3-preview/46277e3b9f2bde4c8ebe6c06fb0756e337cbc479?cid=9950ac751e34487dbbe027c4fd7f8e99
172,3,Steal My Sunshine,LEN,https://p.scdn.co/mp3-preview/079e75e7b51ce47ea39b66a65ad700e74e5582b5?cid=9950ac751e34487dbbe027c4fd7f8e99
173,3,Mambo No. 5 (a Little Bit of...),Lou Bega,https://p.scdn.co/mp3-preview/9d4b70e65834b7f7f78e42d1cfc070c827ab0951?cid=9950ac751e34487dbbe027c4fd7f8e99
174,3,Waiting for Tonight,Jennifer Lopez,https://p.scdn.co/mp3-preview/56b256ca079ce0f979ff7a57e1cd8f5ea37ce6c5?cid=9950ac751e34487dbbe027c4fd7f8e99
175,3,Smooth (feat. Rob Thomas),"Santana, Rob Thomas",https://p.scdn.co/mp3-preview/9f977ebb2e695502c8b1d3bd678ef706c9ea4ccb?cid=9950ac751e34487dbbe027c4fd7f8e99
176,3,All I Wanna Do,Sheryl Crow,https://p.scdn.co/mp3-preview/00f422a1672b978feb97b4cfb3eefc616c780cff?cid=9950ac751e34487dbbe027c4fd7f8e99
177,3,MMMBop,Hanson,https://p.scdn.co/mp3-preview/5ea2b17685bd2641693ce797cf6b68a40d2e1d4d?cid=9950ac751e34487dbbe027c4fd7f8e99
